角色名,PL名,角色简介
僵灵（尹畈·守夜）,,有自我意识的高阶僵尸，长相甜美可爱，天然呆喜欢吃东西。初代魔勇四人组之一。
巫祖（弗恩·绿林）,,魔界军师，睿智的科学家，也是巫妖。生活作风严肃，但研究态度热忱。初代魔勇四人组之一。
骨剑（卡姆西斯）,,自称“魔界第一护卫”的骷髅剑士，生前是位将军。言谈举止古怪，特立独行。初代魔勇四人组之一。
幽龙（莱克斯）,,存在感稀薄的幽灵刺客，担任吐槽役。擅长隐身、侦察。初代魔勇四人组之一。
木津根沙华,,橙色头发的狐天狗女孩，魔法学院学生会长。知性稳重，爱读书。与網津元清是一对恋人。
艾菲,,魔王艾萨与堕天使菲儿莉丝的唯一子嗣，蛮横的魔族公主。为征服人界出走，自称大魔王驰骋四方。
卡罗琳娜,,现任第一魔族居民区市的市长，吸血鬼。外表温柔成熟，有些小腹黑。人称“凯丽姐”或“市长姐姐”。
斋藤常,,魔法学院学生，沉静的鸦天狗女孩，曾为剑道部部长。与弓道部部长泽木秀定是恋爱关系。
網津元清,,源流报社社长，鸦天狗世家網津氏子弟。自立门户已有多年，武艺非凡。深爱木津根沙华。
泽木秀定,,脾气暴躁的鸦天狗，魔法学院学生，弓道部部长。与斋藤常是一对恋人。
格拉修斯,,原王国禁卫军统领，现黎云组织重要人物，昵称“大块头”，用两面巨盾战斗。为人和善。黎云得到魔法学院控制权后一直驻扎魔法学院。
莉德·涅沃尔,,意外成为血族的人类少女，魔法学院学生。学生会副会长卡珊娜的随从。沉默寡言，身手迅捷，手段狠辣。
帕吉尔,,备受期待的圣骑士团成员，阿尔西斯的挚友。本不想成为骑士，但他的团长父亲对他寄予厚望。
源流恒辉,,狐天狗大叔，源流报社成员。为取材去往库姆利，因为见证了重大事件被关押。網津元清的挚友。
哈苏利马、哈苏卡马,,来自北方的异族人兄妹，信仰哈苏玛神。曾经主导灭世者军团对魔法学院的入侵。被学生们合力击杀。
阿尔西斯,,身负“战神”之名的人类少年。幼年家人接连去世，但他没有放弃，凭借兄长卡姆西斯教导的剑法和自己的天赋杀出一条血路。人类王国的英雄。
西露达,,绿发小女孩，魔法学院学生。携带着数量庞大的法杖，性格怯懦软萌。
骨灰,,守护穿界门的高级骷髅，经常靠着门睡觉。实际上是个高级特工，不过他自己把那段记忆删掉了。
萨比,,“血族大师”，元祖德拉库之子。魔王艾萨的重臣。
卡珊娜·苏尔,,魔法的全才，天才精灵少女。在灭世者军团把握大权后将其改名“黎云”，现魔法学院学生会副会长，现代符文法术创始人。
木津根由代,,黑发狐天狗，昵称小狐狸，魔法学院学生。幼年被诱拐的经历使其精神受损，身体发育停滞。木津根沙华是她的表姐。
特维斯·鹰眼,,有社交恐惧症的精灵少女，症状十分严重。亲眼见到父母杀害自己的童年玩伴后主动前往魔法学院学习。偶遇巨兽猎手组织后去尽头山脉猎龙作为实习。
艾米丽·布莱特,,奇招频出，古灵精怪的人类少女，魔法学院学生。在寻找自己的哥哥。
飒菈,,富有学习精神和实验热情的人类少女，魔法学院学生。沉迷学习无法自拔，每日攀登图书馆塔。
村纱岚,,大方直爽的鲸天狗女孩，魔法学院学生，村纱氏的巫女。平易近人，喜欢下河捉鱼。
安缇·法泽尔,,神出鬼没的雇佣兵，金发碧眼大姐姐，杀人不眨眼。独来独往，过往已不可考。
秋,,性格随和快活的吟游诗人，身为人类却是被离群的精灵养大，擅长火魔法，其实是某家族的小少爷，现在在源流报社工作。
夏洛克·福尔摩斯,,精灵族大侦探，自己的家族毁灭后一直追查原因无果，在维兰镇结识了秋，后与秋一同被網津元清招揽成为报社的员工。
翡翠,,神秘的小黑猫，性别为女，性格调皮。母亲是一只后天吸血鬼猫，翡翠虽然不是吸血鬼，但因此获得了超过一般猫咪的智力。母亲被讨伐后辗转被秋收养。
莫生文珩,,传奇药师鸦天狗，创造了现代常用的治疗药水配方。精通各类治疗法术并熟知药学，经验丰富。莫生家族被毁，但因为他，莫生家的名誉没有消逝。
祁影,,影，字得龙。来自东方的道士少年。掌握着特殊的“暗影”法术，能用凌厉的剑气和飞索进行远距离攻击。正寻找魔法学院追求更强的法术。
维达,,人类王国的魔导技师，设计出了日后将在战争中起到极大作用的武器：重弩。临终前提出了超级兵器“倾斜者”的构思，由学生承接研究。
琅琊,,zwei佣兵团成员，人类少年，坚韧不拔，越挫越勇。使用双手大剑进行战斗，拜年剑法臻至大成境界。
艾萨,,曾是一个离经叛道的精灵族炼金术士，因研究亡灵法术被精灵议会放逐魔界。通过亡灵法术成为了绝无仅有的精灵族吸血鬼，后来成了人们熟知的魔王艾萨。
幽羽,,自称“魔界巫妖之弟子，幽灵·魔之幽羽“，生前是一名彼岸的鸦天狗孩童。我行我素，孩子心性。
Jesus,,红茶神教的教主，推广红茶的奇怪精灵。能用红茶释放法术。有着红茶的肤色。
尼茨,,胖乎乎的商人之子，魔法学院学生。擅长水魔法，其貌不扬的外表下有商人的精明。
弗恩·绿林,,绿林家族的长者，魔法师。暗中研究亡灵法术，希望能发掘其效用用于正道。死后成了巫妖。
基理,,魅魔族群的希望，美貌无双的年轻魅魔。曾自称是王国的公主萨卡兹·梅尔里夫去往人界。
世琪,,金发人类小女孩，被天狗国木津根千代收养，习惯打扮成狐狸模样。不爱说话，将话语写在纸上与人沟通。带着一本能记载无限知识的魔法书。
沃尔特,,zwei佣兵团团员，被队友称为“您的盾牌”的可靠佣兵。使用双手大剑进行战斗，口头禅是“我说的对不对？”。因为失去过队友，行事非常谨慎。
德拉库,,是创造出将人类转化为吸血鬼的法术的“真祖”。曾经以吸血鬼之王的身份统治魔界367年，最终为鬼王米多鲁所杀。
村纱新八,,天狗国某家万事屋的眼镜男子，事鲸天狗。带着家传的薙刀，为振兴自家的道馆战斗。擅长吐槽。
恩科·守夜,,乡村医生，是守夜家族的精灵。能使用一种特殊的法术短期内增强患者的身体能力，此法术又称“法塑护盾”。
扎布劳,,鬼族大小姐，魔王城堡的管家。对魔王忠心耿耿，受命前往人界寻找公主，误打误撞成了化装成卡姆西斯将军的骨剑的参谋。
盖德瑞,,鬼族工匠，为了测试自己锻造的血肉神兵威能，先是应魔王召唤去往人界寻找公主，后来又加入了巨兽猎手前去猎龙。
阿默尔·亚历克桑德拉,,得到离群神明启示的大魔法师，潜心研究物理。擅长水魔法，通过光在极小水滴内特定角度的折射实现幻象的构建，发明了多种基于此技术的魔法道具，热衷祈雨事业。
布罗卡德,,来自尽头山脉的精灵，自称律法守护者。能够变身为龙，并念诵律法进而施法。离开家乡闯荡的他现在是源流报社的社员。
木津根类,,严肃的白发狐天狗，经营着言之叶商会，随时瞄准商机。能够使用“言灵”的力量。有妻子木津根千代，女儿木津根由代。另外是个妻管严。
木津根千代,,木津根由代的妈妈，温柔大方，也有着腹黑一面的狐天狗巫女。非常宠爱女儿。几百年前认识了克罗尔并成为朋友。最近来到大陆寻找女儿，途中加入猎龙团队。
梅山茂,,阿瑟娑港的黑医，献祭寿命救人的鲸天狗巫女。帮助过孤儿罗宾。最近成了北乡府的女主人。
达利丝·木喰,,行事张扬跋扈的蚁族女王，有逛花街柳巷泡男人的不良嗜好。在某个小镇大闹一番之后开始了寻找新巢的漫长军旅生活。
克罗尔,,活了很久的吸血鬼，性别不明。与木津根千代一家关系很好，把他们当作家人。能变成蝙蝠灵活地移动。性格开朗调皮，不过另一方面也很会隐藏自己的想法。
吾尤（莉莉安）,,两次应魔王征召前往人界的幽灵女子，有着堪称恐怖的外表，但其实胆小谨慎。在巫祖帮助下成功附体一名名叫莉莉安的女孩。继承了女孩的遗志，她继续冒险着。
凯特·夜镰,,蚁族夜镰氏总督的三女，拥有一艘属于自己的陆行舰。不善经商，武艺高强，渴望与更强的敌手一战。遇见魔界出走的公主艾菲后两人一拍而合，一起驰骋人界。
莉莉娅·苏尔,,精灵家族苏尔氏的小女儿，那个大名鼎鼎的卡珊娜的妹妹。从小学习行军打仗的智慧，是个优秀的参谋。现在跟着艾菲和凯特驰骋人界。
严岛佳春,,源流报社元老之一，不苟言笑的鲸天狗女子。与斋藤忍私交甚好。随时携带纸笔准备记录新闻。似乎有自己的一套秘密计划……
丁丁,,来自“地球”，公元1929年的知名记者。在一次雪山探险中迷失方向，与爱犬米卢一起来到了这个世界。源流报社接纳了他，现在他以记者身份探索着这个世界。
苇木芽衣,,某天突然造访源流报社表明投奔意向的鸦天狗女孩。容貌出众。总是神神秘秘的样子，好像隐藏着什么。
星野郁纪,,一腔热血，正直善良的年轻鲸天狗，源流报社的信使。使用短链战斗的“劈海者”，勇猛过人。
封牙,,被当做战斗机器抚养的鬼族女性，因为种族的特性，害怕豆子和豆子形状的东西。战斗力强劲，人也靠谱。曾经应召参与魔王的任务，不过现在已经回到魔界。
莫生苍玄,,被天狗国厌弃的一族——也就是来到彼岸积极学习魔法的莫生家族中，从不缺少学者。莫生苍玄在他的青年时代，天历前500年便去往魔界，并在魔界学习药学知识。在天历1年的现在，苍玄仍作为广为人知的伟大医师在人界的广袤土地上行走。
琳卡,,初出茅庐的冒险者和战士，性格活泼干劲十足。特长是使用弓和弩，也许还有偷袭。绿色帽子是她的标志性特征。另外*非常*不挑食。
斯派克,,一家小报社的编辑……不过也会被当成记者使唤，性格谨慎内向。飞镖上带毒。在马鲁姆认识了琳卡，并一起退治了吸血鬼猫咪，此后也一直支持着琳卡的冒险。
罗宾,,精力过剩的手工艺者和天生神力的战士。有时候开朗到令人不爽，但更多时候，他还是可靠的伙伴。因为他的雇主不知怎的总会倒霉，雇佣兵罗宾习惯了四海为家。
埃里克,,自然的宠儿，掌控风的风精灵一族和精灵社群的关系并不很紧密，埃里克就是他们中的一员。她的愿望是游遍全世界，现在正作为联合王国的一名信使四处游历。
奥克托佩德,,某个地下组织的老大，主业是贩卖人口，通称“奥克托”。虽说称得上是“黑恶势力”的代名词，却意外地非常有契约精神。
史都华,,出身平民阶层的圣骑士，温和可靠的引导者。顺利完成奥德镇的任务后，他再次返回了首都。只是，某个大魔法师似乎盯上了他……
花佃镜里,秋田,隶属于言之叶商会的狐天狗，是木津根一家的老朋友。表情常年固定在眯眯眼姨母笑，非常友善。已经有五百岁，但并不介意任何人提及此事。来历神秘，可以变成一只狐狸快捷地行动。
苇木参,苦叶茶,言之叶商会的成员之一。和木津根类在百年前认识。看起来是普通的阴暗男，但心地善良，很讲义气。曾在魔法学院周边活动，会魔法，但平时倾向于隐藏。
穆·斫石,凹凸裂开人,蚁族氏族：斫石氏族的成员，按照习俗正在游历大陆。擅长使用各类宝石、土石魔法以及磁场力量。不知道为什么穿上的衣服都会爆开，是个体格高大的大姐姐。
布罗卡德,像素头先生,年轻的精灵，是隐藏于世界尽头山脉，维护龙与外界关系的社群“律法守护者”的一员，因想接触外部世界而加入源流报社。拥有能部分化龙的力量，目前正以源流报社摄影的身份追随着恒辉。
拉希德·胡安·莫拉莱斯,像素头先生,沙漠帝国人，因开创了心灵系魔法而被魔法学院破格录取为（挂名）教授，遇强则强。为了论证心灵系法术对非人生物的效果而前往了风暴岛，并受此启发进一步改良了法术体系。
艾哈迈德·克劳恩,像素头先生,沙漠帝国人，神秘的魔术师，使用“奇术”进行战斗。目前搭上了拐杖商队的顺风车，踏上了前往遥远国度“鸿”的旅途。
荀芪,像素头先生,来自玉峰剑派，自愿留下协助流民村的剑客，真实身份是前来调查尸体减少真相的拜龙密教信徒，拥有近乎恐怖的再生能力。现已“改邪归正”，并暂居流民村领导的地位，然而他的信仰究竟是否真正改变……
孔央,秋田,生活在大鸿边境流民村的书生，知识水平属于文盲上面的一档。在战乱期间学会了使用长枪，现在正前往异域学堂进学。
钱义,地猫,在大鸿边境行医的义医，擅长持藤牌与刀战斗。在呼斯楞事件后随吕谨将军征战以精进医术。
良雪,小龙龙宝宝,前往边境寻找父亲的精灵少女，意外地拥有超乎常人的膂力。寻到父亲良衍后便转而随父亲一同行商。
乌兰图雅,,在大鸿与塔拉呼那边境行商的蚁族船长，有自己的旗舰。起初是帮助塔拉呼那攻打大鸿，却意外被大鸿将军的英姿折服……
吕慎,,大鸿的女将军，身材高大，武艺高强，是人类与鬼族的混血。因为脾气暴躁，不擅交际，于堕入魔道的弟弟分道扬镳。
吕谨,,大鸿的小将军，因为挚友高颖被杀，发誓用尽一切办法杀尽塔拉呼那人。正是因此，他才听信谗言使用了禁忌的术法。